+-----------------+-----------------------------+---------------------+-----------------+--------------------------------------------------------+-----------------------+--------------------------------------------------------+-------------------+-------------------------+-------------------------+
|       Lp.       |            Title            |      Equations      |  Observations   |                 All minimal conflicts                  | All minimal diagnosis |                   Minimal conflicts                    | Minimal diagnosis | Minimal conflicts - GPT | Minimal diagnosis - GPT |
| --------------- |       ---------------       |   ---------------   | --------------- |                    ---------------                     |    ---------------    |                    ---------------                     |  ---------------  |     ---------------     |     ---------------     |
|       33        |          Example 8          |   A1: a + b = x01   |      a = 1      |                       A5, A6, M5                       |      A1, A2, A5       |                       A5, A6, M5                       |      A2, M5       |                         |                         |
|                 |                             |   M1: b * c = x02   |      b = 1      |                   A1, A4, M1, M3, M5                   |      A1, A2, A6       |                   A1, A4, M1, M3, M5                   |      A3, M5       |                         |                         |
|                 |                             |   A2: c + d = x03   |      c = 1      |                   A2, A3, A6, M2, M4                   |      A1, A2, M5       |                   A2, A3, A6, M2, M4                   |      M2, M5       |                         |                         |
|                 |                             |   M2: d * e = x04   |      d = 1      |                 A1, A4, A5, A6, M1, M3                 |      A1, A3, A5       |                 A2, A3, A5, M2, M4, M5                 |      M4, M5       |                         |                         |
|                 |                             |  M3: b * x02 = x05  |      e = 1      |                 A2, A3, A5, M2, M4, M5                 |      A1, A3, A6       |           A1, A2, A3, A4, A5, M1, M2, M3, M4           |    A1, A2, A5     |                         |                         |
|                 |                             |  A3: d + x04 = x06  |      f = 1      |           A1, A2, A3, A4, A5, M1, M2, M3, M4           |      A1, A3, M5       |         A1, A2, A3, A4, A5, A6, M1, M2, M3, M4         |    A1, A2, A6     |                         |                         |
|                 |                             | A4: x01 + x05 = x07 |      g = 1      |         A1, A2, A3, A4, A5, A6, M1, M2, M3, M4         |      A1, A5, A6       |         A1, A2, A3, A4, A5, M1, M2, M3, M4, M5         |    A1, A3, A5     |                         |                         |
|                 |                             | M4: x03 * x06 = x08 |      h = 4      |         A1, A2, A3, A4, A5, M1, M2, M3, M4, M5         |      A1, A5, M2       |         A1, A2, A3, A4, A6, M1, M2, M3, M4, M5         |    A1, A3, A6     |                         |                         |
|                 |                             |   M5: f * x07 = h   |      i = 6      |         A1, A2, A3, A4, A6, M1, M2, M3, M4, M5         |      A1, A5, M4       |                                                        |    A1, A5, A6     |                         |                         |
|                 |                             |  A5: x07 + x08 = i  |      j = 4      |                                                        |      A1, A6, M2       |                                                        |    A1, A5, M2     |                         |                         |
|                 |                             |   A6: g + x08 = j   |                 |                                                        |      A1, A6, M4       |                                                        |    A1, A5, M4     |                         |                         |
|                 |                             |                     |                 |                                                        |      A1, A6, M5       |                                                        |    A1, A6, M2     |                         |                         |
|                 |                             |                     |                 |                                                        |      A1, M2, M5       |                                                        |    A1, A6, M4     |                         |                         |
|                 |                             |                     |                 |                                                        |      A1, M4, M5       |                                                        |    A1, A6, M5     |                         |                         |
|                 |                             |                     |                 |                                                        |      A2, A4, A5       |                                                        |    A2, A4, A5     |                         |                         |
|                 |                             |                     |                 |                                                        |      A2, A4, A6       |                                                        |    A2, A4, A6     |                         |                         |
|                 |                             |                     |                 |                                                        |      A2, A4, M5       |                                                        |    A2, A5, M1     |                         |                         |
|                 |                             |                     |                 |                                                        |      A2, A5, M1       |                                                        |    A2, A5, M3     |                         |                         |
|                 |                             |                     |                 |                                                        |      A2, A5, M3       |                                                        |    A2, A6, M1     |                         |                         |
|                 |                             |                     |                 |                                                        |      A2, A5, M5       |                                                        |    A2, A6, M3     |                         |                         |
|                 |                             |                     |                 |                                                        |      A2, A6, M1       |                                                        |    A3, A4, A5     |                         |                         |
|                 |                             |                     |                 |                                                        |      A2, A6, M3       |                                                        |    A3, A4, A6     |                         |                         |
|                 |                             |                     |                 |                                                        |      A2, A6, M5       |                                                        |    A3, A5, M1     |                         |                         |
|                 |                             |                     |                 |                                                        |      A2, M1, M5       |                                                        |    A3, A5, M3     |                         |                         |
|                 |                             |                     |                 |                                                        |      A2, M3, M5       |                                                        |    A3, A6, M1     |                         |                         |
|                 |                             |                     |                 |                                                        |      A3, A4, A5       |                                                        |    A3, A6, M3     |                         |                         |
|                 |                             |                     |                 |                                                        |      A3, A4, A6       |                                                        |    A4, A5, A6     |                         |                         |
|                 |                             |                     |                 |                                                        |      A3, A4, M5       |                                                        |    A4, A5, M2     |                         |                         |
|                 |                             |                     |                 |                                                        |      A3, A5, M1       |                                                        |    A4, A5, M4     |                         |                         |
|                 |                             |                     |                 |                                                        |      A3, A5, M3       |                                                        |    A4, A6, M2     |                         |                         |
|                 |                             |                     |                 |                                                        |      A3, A5, M5       |                                                        |    A4, A6, M4     |                         |                         |
|                 |                             |                     |                 |                                                        |      A3, A6, M1       |                                                        |    A4, A6, M5     |                         |                         |
|                 |                             |                     |                 |                                                        |      A3, A6, M3       |                                                        |    A5, A6, M1     |                         |                         |
|                 |                             |                     |                 |                                                        |      A3, A6, M5       |                                                        |    A5, A6, M3     |                         |                         |
|                 |                             |                     |                 |                                                        |      A3, M1, M5       |                                                        |    A5, A6, M5     |                         |                         |
|                 |                             |                     |                 |                                                        |      A3, M3, M5       |                                                        |    A5, M1, M2     |                         |                         |
|                 |                             |                     |                 |                                                        |      A4, A5, A6       |                                                        |    A5, M1, M4     |                         |                         |
|                 |                             |                     |                 |                                                        |      A4, A5, M2       |                                                        |    A5, M2, M3     |                         |                         |
|                 |                             |                     |                 |                                                        |      A4, A5, M4       |                                                        |    A5, M3, M4     |                         |                         |
|                 |                             |                     |                 |                                                        |      A4, A6, M2       |                                                        |    A6, M1, M2     |                         |                         |
|                 |                             |                     |                 |                                                        |      A4, A6, M4       |                                                        |    A6, M1, M4     |                         |                         |
|                 |                             |                     |                 |                                                        |      A4, A6, M5       |                                                        |    A6, M1, M5     |                         |                         |
|                 |                             |                     |                 |                                                        |      A4, M2, M5       |                                                        |    A6, M2, M3     |                         |                         |
|                 |                             |                     |                 |                                                        |      A4, M4, M5       |                                                        |    A6, M3, M4     |                         |                         |
|                 |                             |                     |                 |                                                        |      A5, A6, M1       |                                                        |    A6, M3, M5     |                         |                         |
|                 |                             |                     |                 |                                                        |      A5, A6, M3       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      A5, A6, M5       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      A5, M1, M2       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      A5, M1, M4       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      A5, M2, M3       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      A5, M2, M5       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      A5, M3, M4       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      A5, M4, M5       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      A6, M1, M2       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      A6, M1, M4       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      A6, M1, M5       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      A6, M2, M3       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      A6, M2, M5       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      A6, M3, M4       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      A6, M3, M5       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      A6, M4, M5       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      M1, M2, M5       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      M1, M4, M5       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      M2, M3, M5       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      M3, M4, M5       |                                                        |                   |                         |                         |
| --------------- |       ---------------       |   ---------------   | --------------- |                    ---------------                     |    ---------------    |                    ---------------                     |  ---------------  |     ---------------     |     ---------------     |
|       34        |          Example 8          |   A1: a + b = x01   |      a = 1      |                       A5, A6, M5                       |      A1, A2, A5       |                       A5, A6, M5                       |      A1, A5       |                         |                         |
|                 |                             |   M1: b * c = x02   |      b = 1      |                   A1, A4, M1, M3, M5                   |      A1, A2, A6       |                   A1, A4, M1, M3, M5                   |      A1, M5       |                         |                         |
|                 |                             |   A2: c + d = x03   |      c = 1      |                   A2, A3, A6, M2, M4                   |      A1, A2, M5       |                 A1, A4, A5, A6, M1, M3                 |      A4, A5       |                         |                         |
|                 |                             |   M2: d * e = x04   |      d = 1      |                 A1, A4, A5, A6, M1, M3                 |      A1, A3, A5       |                 A2, A3, A5, M2, M4, M5                 |      A4, M5       |                         |                         |
|                 |                             |  M3: b * x02 = x05  |      e = 1      |                 A2, A3, A5, M2, M4, M5                 |      A1, A3, A6       |           A1, A2, A3, A4, A5, M1, M2, M3, M4           |      A5, M1       |                         |                         |
|                 |                             |  A3: d + x04 = x06  |      f = 1      |           A1, A2, A3, A4, A5, M1, M2, M3, M4           |      A1, A3, M5       |         A1, A2, A3, A4, A5, A6, M1, M2, M3, M4         |      A5, M3       |                         |                         |
|                 |                             | A4: x01 + x05 = x07 |      g = 1      |         A1, A2, A3, A4, A5, A6, M1, M2, M3, M4         |      A1, A5, A6       |         A1, A2, A3, A4, A5, M1, M2, M3, M4, M5         |      A5, M5       |                         |                         |
|                 |                             | M4: x03 * x06 = x08 |      h = 4      |         A1, A2, A3, A4, A5, M1, M2, M3, M4, M5         |      A1, A5, M2       |         A1, A2, A3, A4, A6, M1, M2, M3, M4, M5         |      M1, M5       |                         |                         |
|                 |                             |   M5: f * x07 = h   |      i = 6      |         A1, A2, A3, A4, A6, M1, M2, M3, M4, M5         |      A1, A5, M4       |                                                        |      M3, M5       |                         |                         |
|                 |                             |  A5: x07 + x08 = i  |      j = 5      |                                                        |      A1, A6, M2       |                                                        |    A1, A2, A6     |                         |                         |
|                 |                             |   A6: g + x08 = j   |                 |                                                        |      A1, A6, M4       |                                                        |    A1, A3, A6     |                         |                         |
|                 |                             |                     |                 |                                                        |      A1, A6, M5       |                                                        |    A1, A6, M2     |                         |                         |
|                 |                             |                     |                 |                                                        |      A1, M2, M5       |                                                        |    A1, A6, M4     |                         |                         |
|                 |                             |                     |                 |                                                        |      A1, M4, M5       |                                                        |    A2, A4, A6     |                         |                         |
|                 |                             |                     |                 |                                                        |      A2, A4, A5       |                                                        |    A2, A6, M1     |                         |                         |
|                 |                             |                     |                 |                                                        |      A2, A4, A6       |                                                        |    A2, A6, M3     |                         |                         |
|                 |                             |                     |                 |                                                        |      A2, A4, M5       |                                                        |    A2, A6, M5     |                         |                         |
|                 |                             |                     |                 |                                                        |      A2, A5, M1       |                                                        |    A3, A4, A6     |                         |                         |
|                 |                             |                     |                 |                                                        |      A2, A5, M3       |                                                        |    A3, A6, M1     |                         |                         |
|                 |                             |                     |                 |                                                        |      A2, A5, M5       |                                                        |    A3, A6, M3     |                         |                         |
|                 |                             |                     |                 |                                                        |      A2, A6, M1       |                                                        |    A3, A6, M5     |                         |                         |
|                 |                             |                     |                 |                                                        |      A2, A6, M3       |                                                        |    A4, A6, M2     |                         |                         |
|                 |                             |                     |                 |                                                        |      A2, A6, M5       |                                                        |    A4, A6, M4     |                         |                         |
|                 |                             |                     |                 |                                                        |      A2, M1, M5       |                                                        |    A6, M1, M2     |                         |                         |
|                 |                             |                     |                 |                                                        |      A2, M3, M5       |                                                        |    A6, M1, M4     |                         |                         |
|                 |                             |                     |                 |                                                        |      A3, A4, A5       |                                                        |    A6, M2, M3     |                         |                         |
|                 |                             |                     |                 |                                                        |      A3, A4, A6       |                                                        |    A6, M2, M5     |                         |                         |
|                 |                             |                     |                 |                                                        |      A3, A4, M5       |                                                        |    A6, M3, M4     |                         |                         |
|                 |                             |                     |                 |                                                        |      A3, A5, M1       |                                                        |    A6, M4, M5     |                         |                         |
|                 |                             |                     |                 |                                                        |      A3, A5, M3       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      A3, A5, M5       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      A3, A6, M1       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      A3, A6, M3       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      A3, A6, M5       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      A3, M1, M5       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      A3, M3, M5       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      A4, A5, A6       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      A4, A5, M2       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      A4, A5, M4       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      A4, A6, M2       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      A4, A6, M4       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      A4, A6, M5       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      A4, M2, M5       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      A4, M4, M5       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      A5, A6, M1       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      A5, A6, M3       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      A5, A6, M5       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      A5, M1, M2       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      A5, M1, M4       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      A5, M2, M3       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      A5, M2, M5       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      A5, M3, M4       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      A5, M4, M5       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      A6, M1, M2       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      A6, M1, M4       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      A6, M1, M5       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      A6, M2, M3       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      A6, M2, M5       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      A6, M3, M4       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      A6, M3, M5       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      A6, M4, M5       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      M1, M2, M5       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      M1, M4, M5       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      M2, M3, M5       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      M3, M4, M5       |                                                        |                   |                         |                         |
| --------------- |       ---------------       |   ---------------   | --------------- |                    ---------------                     |    ---------------    |                    ---------------                     |  ---------------  |     ---------------     |     ---------------     |
|       35        |          Example 8          |   A1: a + b = x01   |      a = 1      |                       A5, A6, M5                       |      A1, A2, A5       |                   A1, A4, M1, M3, M5                   |      A1, A2       |                         |                         |
|                 |                             |   M1: b * c = x02   |      b = 1      |                   A1, A4, M1, M3, M5                   |      A1, A2, A6       |                   A2, A3, A6, M2, M4                   |      A1, A3       |                         |                         |
|                 |                             |   A2: c + d = x03   |      c = 1      |                   A2, A3, A6, M2, M4                   |      A1, A2, M5       |                 A1, A4, A5, A6, M1, M3                 |      A1, M2       |                         |                         |
|                 |                             |   M2: d * e = x04   |      d = 1      |                 A1, A4, A5, A6, M1, M3                 |      A1, A3, A5       |                 A2, A3, A5, M2, M4, M5                 |      A1, M4       |                         |                         |
|                 |                             |  M3: b * x02 = x05  |      e = 1      |                 A2, A3, A5, M2, M4, M5                 |      A1, A3, A6       |         A1, A2, A3, A4, A5, A6, M1, M2, M3, M4         |      A2, A4       |                         |                         |
|                 |                             |  A3: d + x04 = x06  |      f = 1      |           A1, A2, A3, A4, A5, M1, M2, M3, M4           |      A1, A3, M5       |         A1, A2, A3, A4, A5, M1, M2, M3, M4, M5         |      A2, M1       |                         |                         |
|                 |                             | A4: x01 + x05 = x07 |      g = 1      |         A1, A2, A3, A4, A5, A6, M1, M2, M3, M4         |      A1, A5, A6       |         A1, A2, A3, A4, A6, M1, M2, M3, M4, M5         |      A2, M3       |                         |                         |
|                 |                             | M4: x03 * x06 = x08 |      h = 4      |         A1, A2, A3, A4, A5, M1, M2, M3, M4, M5         |      A1, A5, M2       |                                                        |      A3, A4       |                         |                         |
|                 |                             |   M5: f * x07 = h   |      i = 7      |         A1, A2, A3, A4, A6, M1, M2, M3, M4, M5         |      A1, A5, M4       |                                                        |      A3, M1       |                         |                         |
|                 |                             |  A5: x07 + x08 = i  |      j = 4      |                                                        |      A1, A6, M2       |                                                        |      A3, M3       |                         |                         |
|                 |                             |   A6: g + x08 = j   |                 |                                                        |      A1, A6, M4       |                                                        |      A4, M2       |                         |                         |
|                 |                             |                     |                 |                                                        |      A1, A6, M5       |                                                        |      A4, M4       |                         |                         |
|                 |                             |                     |                 |                                                        |      A1, M2, M5       |                                                        |      A6, M5       |                         |                         |
|                 |                             |                     |                 |                                                        |      A1, M4, M5       |                                                        |      M1, M2       |                         |                         |
|                 |                             |                     |                 |                                                        |      A2, A4, A5       |                                                        |      M1, M4       |                         |                         |
|                 |                             |                     |                 |                                                        |      A2, A4, A6       |                                                        |      M2, M3       |                         |                         |
|                 |                             |                     |                 |                                                        |      A2, A4, M5       |                                                        |      M3, M4       |                         |                         |
