+-----------------+------------------+----------------------+-----------------+--------------------------------------------------------+-----------------------+--------------------------------------------------------+-------------------+-------------------------+-------------------------+
|       Lp.       |      Title       |      Equations       |  Observations   |                 All minimal conflicts                  | All minimal diagnosis |                   Minimal conflicts                    | Minimal diagnosis | Minimal conflicts - GPT | Minimal diagnosis - GPT |
|                 |                  |                      |                 |                                                        |      A2, A6, M2       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A2, A6, M7       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A2, M1, M5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A2, M1, M6       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A2, M1, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A2, M2, M5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A2, M2, M6       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A2, M2, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A2, M5, M7       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A2, M6, M7       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A2, M7, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A3, A4, A5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A3, A4, M1       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A3, A4, M2       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A3, A4, M7       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A3, A5, A6       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A3, A5, M5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A3, A5, M6       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A3, A5, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A3, A6, M1       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A3, A6, M2       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A3, A6, M7       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A3, M1, M5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A3, M1, M6       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A3, M1, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A3, M2, M5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A3, M2, M6       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A3, M2, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A3, M5, M7       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A3, M6, M7       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A3, M7, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A4, A5, M2       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A4, A5, M3       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A4, A5, M4       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A4, A5, M5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A4, A5, M9       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A4, M1, M2       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A4, M1, M3       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A4, M1, M4       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A4, M1, M5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A4, M1, M9       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A4, M2, M3       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A4, M2, M4       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A4, M2, M5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A4, M2, M7       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A4, M2, M9       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A4, M3, M7       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A4, M4, M7       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A4, M5, M7       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A4, M7, M9       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A5, A6, M2       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A5, A6, M3       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A5, A6, M4       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A5, A6, M5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A5, A6, M9       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A5, M2, M5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A5, M2, M6       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A5, M2, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A5, M3, M5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A5, M3, M6       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A5, M3, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A5, M4, M5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A5, M4, M6       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A5, M4, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A5, M5, M6       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A5, M5, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A5, M5, M9       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A5, M6, M9       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A5, M8, M9       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A6, M1, M2       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A6, M1, M3       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A6, M1, M4       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A6, M1, M5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A6, M1, M9       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A6, M2, M3       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A6, M2, M4       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A6, M2, M5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A6, M2, M7       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A6, M2, M9       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A6, M3, M7       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A6, M4, M7       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A6, M5, M7       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A6, M7, M9       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M1, M2, M5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M1, M2, M6       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M1, M2, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M1, M3, M5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M1, M3, M6       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M1, M3, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M1, M4, M5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M1, M4, M6       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M1, M4, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M1, M5, M6       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M1, M5, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M1, M5, M9       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M1, M6, M9       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M1, M8, M9       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M2, M3, M5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M2, M3, M6       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M2, M3, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M2, M4, M5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M2, M4, M6       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M2, M4, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M2, M5, M6       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M2, M5, M7       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M2, M5, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M2, M5, M9       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M2, M6, M7       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M2, M6, M9       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M2, M7, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M2, M8, M9       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M3, M5, M7       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M3, M6, M7       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M3, M7, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M4, M5, M7       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M4, M6, M7       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M4, M7, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M5, M6, M7       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M5, M7, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M5, M7, M9       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M6, M7, M9       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M7, M8, M9       |                                                        |                   |                         |                         |
| --------------- | ---------------  |   ---------------    | --------------- |                    ---------------                     |    ---------------    |                    ---------------                     |  ---------------  |     ---------------     |     ---------------     |
|        9        |      Only A      |   a + b = x01 (A1)   |      a = 1      |                       A3, A4, A6                       |        A1, A3         |                                                        |                   |                         |                         |
|                 |                  |   b + c = x02 (A2)   |      b = 1      |                     A1, A2, A5, A7                     |        A1, A4         |                                                        |                   |                         |                         |
|                 |                  |   c + d = x03 (A3)   |      c = 1      |                                                        |        A1, A6         |                                                        |                   |                         |                         |
|                 |                  |   d + e = x04 (A4)   |      d = 1      |                                                        |        A2, A3         |                                                        |                   |                         |                         |
|                 |                  | x01 + x02 = x05 (A5) |      e = 1      |                                                        |        A2, A4         |                                                        |                   |                         |                         |
|                 |                  |  x03 + x04 = g (A6)  |      f = 1      |                                                        |        A2, A6         |                                                        |                   |                         |                         |
|                 |                  |   x05 + f = h (A7)   |      g = 4      |                                                        |        A3, A5         |                                                        |                   |                         |                         |
|                 |                  |                      |      h = 5      |                                                        |        A3, A7         |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |        A4, A5         |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |        A4, A7         |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |        A5, A6         |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |        A6, A7         |                                                        |                   |                         |                         |
| --------------- | ---------------  |   ---------------    | --------------- |                    ---------------                     |    ---------------    |                    ---------------                     |  ---------------  |     ---------------     |     ---------------     |
|       10        |      Only A      |   a + b = x01 (A1)   |      a = 1      |                       A3, A4, A6                       |        A1, A3         |                       A3, A4, A6                       |        A3         |                         |                         |
|                 |                  |   b + c = x02 (A2)   |      b = 1      |                     A1, A2, A5, A7                     |        A1, A4         |                                                        |        A4         |                         |                         |
|                 |                  |   c + d = x03 (A3)   |      c = 1      |                                                        |        A1, A6         |                                                        |        A6         |                         |                         |
|                 |                  |   d + e = x04 (A4)   |      d = 1      |                                                        |        A2, A3         |                                                        |                   |                         |                         |
|                 |                  | x01 + x02 = x05 (A5) |      e = 1      |                                                        |        A2, A4         |                                                        |                   |                         |                         |
|                 |                  |  x03 + x04 = g (A6)  |      f = 1      |                                                        |        A2, A6         |                                                        |                   |                         |                         |
|                 |                  |   x05 + f = h (A7)   |      g = 5      |                                                        |        A3, A5         |                                                        |                   |                         |                         |
|                 |                  |                      |      h = 5      |                                                        |        A3, A7         |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |        A4, A5         |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |        A4, A7         |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |        A5, A6         |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |        A6, A7         |                                                        |                   |                         |                         |
| --------------- | ---------------  |   ---------------    | --------------- |                    ---------------                     |    ---------------    |                    ---------------                     |  ---------------  |     ---------------     |     ---------------     |
|       11        |      Only A      |   a + b = x01 (A1)   |      a = 1      |                       A3, A4, A6                       |        A1, A3         |                     A1, A2, A5, A7                     |        A1         |                         |                         |
|                 |                  |   b + c = x02 (A2)   |      b = 1      |                     A1, A2, A5, A7                     |        A1, A4         |                                                        |        A2         |                         |                         |
|                 |                  |   c + d = x03 (A3)   |      c = 1      |                                                        |        A1, A6         |                                                        |        A5         |                         |                         |
|                 |                  |   d + e = x04 (A4)   |      d = 1      |                                                        |        A2, A3         |                                                        |        A7         |                         |                         |
|                 |                  | x01 + x02 = x05 (A5) |      e = 1      |                                                        |        A2, A4         |                                                        |                   |                         |                         |
|                 |                  |  x03 + x04 = g (A6)  |      f = 1      |                                                        |        A2, A6         |                                                        |                   |                         |                         |
|                 |                  |   x05 + f = h (A7)   |      g = 4      |                                                        |        A3, A5         |                                                        |                   |                         |                         |
|                 |                  |                      |      h = 8      |                                                        |        A3, A7         |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |        A4, A5         |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |        A4, A7         |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |        A5, A6         |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |        A6, A7         |                                                        |                   |                         |                         |
| --------------- | ---------------  |   ---------------    | --------------- |                    ---------------                     |    ---------------    |                    ---------------                     |  ---------------  |     ---------------     |     ---------------     |
|       12        |   Wide example   |   a + b = x02 (A1)   |      a = 1      |                         M3, M4                         |        A1, M3         |                                                        |                   |                         |                         |
|                 |                  |   c * d = x01 (M1)   |      b = 1      |                   A1, A2, M1, M2, M3                   |        A1, M4         |                                                        |                   |                         |                         |
|                 |                  |  e * x01 = x03 (M2)  |      c = 1      |                   A1, A2, M1, M2, M4                   |        A2, M3         |                                                        |                   |                         |                         |
|                 |                  | x02 + x03 = x04 (A2) |      d = 1      |                                                        |        A2, M4         |                                                        |                   |                         |                         |
|                 |                  |   f * x04 = h (M3)   |      e = 1      |                                                        |        M1, M3         |                                                        |                   |                         |                         |
|                 |                  |   x04 * g = i (M4)   |      f = 1      |                                                        |        M1, M4         |                                                        |                   |                         |                         |
|                 |                  |                      |      g = 1      |                                                        |        M2, M3         |                                                        |                   |                         |                         |
|                 |                  |                      |      h = 3      |                                                        |        M2, M4         |                                                        |                   |                         |                         |
|                 |                  |                      |      i = 3      |                                                        |        M3, M4         |                                                        |                   |                         |                         |
| --------------- | ---------------  |   ---------------    | --------------- |                    ---------------                     |    ---------------    |                    ---------------                     |  ---------------  |     ---------------     |     ---------------     |
|       13        |   Wide example   |   a + b = x02 (A1)   |      a = 1      |                         M3, M4                         |        A1, M3         |                         M3, M4                         |        M3         |                         |                         |
|                 |                  |   c * d = x01 (M1)   |      b = 1      |                   A1, A2, M1, M2, M3                   |        A1, M4         |                   A1, A2, M1, M2, M3                   |      A1, M4       |                         |                         |
|                 |                  |  e * x01 = x03 (M2)  |      c = 1      |                   A1, A2, M1, M2, M4                   |        A2, M3         |                                                        |      A2, M4       |                         |                         |
|                 |                  | x02 + x03 = x04 (A2) |      d = 1      |                                                        |        A2, M4         |                                                        |      M1, M4       |                         |                         |
|                 |                  |   f * x04 = h (M3)   |      e = 1      |                                                        |        M1, M3         |                                                        |      M2, M4       |                         |                         |
|                 |                  |   x04 * g = i (M4)   |      f = 1      |                                                        |        M1, M4         |                                                        |                   |                         |                         |
|                 |                  |                      |      g = 1      |                                                        |        M2, M3         |                                                        |                   |                         |                         |
|                 |                  |                      |      h = 2      |                                                        |        M2, M4         |                                                        |                   |                         |                         |
|                 |                  |                      |      i = 3      |                                                        |        M3, M4         |                                                        |                   |                         |                         |
| --------------- | ---------------  |   ---------------    | --------------- |                    ---------------                     |    ---------------    |                    ---------------                     |  ---------------  |     ---------------     |     ---------------     |
|       14        |   Wide example   |   a + b = x02 (A1)   |      a = 1      |                         M3, M4                         |        A1, M3         |                   A1, A2, M1, M2, M3                   |        A1         |                         |                         |
|                 |                  |   c * d = x01 (M1)   |      b = 1      |                   A1, A2, M1, M2, M3                   |        A1, M4         |                   A1, A2, M1, M2, M4                   |        A2         |                         |                         |
|                 |                  |  e * x01 = x03 (M2)  |      c = 1      |                   A1, A2, M1, M2, M4                   |        A2, M3         |                                                        |        M1         |                         |                         |
|                 |                  | x02 + x03 = x04 (A2) |      d = 1      |                                                        |        A2, M4         |                                                        |        M2         |                         |                         |
|                 |                  |   f * x04 = h (M3)   |      e = 1      |                                                        |        M1, M3         |                                                        |      M3, M4       |                         |                         |
|                 |                  |   x04 * g = i (M4)   |      f = 1      |                                                        |        M1, M4         |                                                        |                   |                         |                         |
|                 |                  |                      |      g = 1      |                                                        |        M2, M3         |                                                        |                   |                         |                         |
|                 |                  |                      |      h = 2      |                                                        |        M2, M4         |                                                        |                   |                         |                         |
|                 |                  |                      |      i = 2      |                                                        |        M3, M4         |                                                        |                   |                         |                         |
| --------------- | ---------------  |   ---------------    | --------------- |                    ---------------                     |    ---------------    |                    ---------------                     |  ---------------  |     ---------------     |     ---------------     |
|       15        |      Only M      |   a * b = x01 (M1)   |      a = 1      |                       M3, M4, M6                       |        M1, M3         |                                                        |                   |                         |                         |
|                 |                  |   b * c = x02 (M2)   |      b = 1      |                     M1, M2, M5, M7                     |        M1, M4         |                                                        |                   |                         |                         |
|                 |                  |   c * d = x03 (M3)   |      c = 1      |                                                        |        M1, M6         |                                                        |                   |                         |                         |
|                 |                  |   d * e = x04 (M4)   |      d = 1      |                                                        |        M2, M3         |                                                        |                   |                         |                         |
|                 |                  | x01 * x02 = x05 (M5) |      e = 1      |                                                        |        M2, M4         |                                                        |                   |                         |                         |
|                 |                  |  x03 * x04 = g (M6)  |      f = 1      |                                                        |        M2, M6         |                                                        |                   |                         |                         |
|                 |                  |   x05 * f = h (M7)   |      g = 1      |                                                        |        M3, M5         |                                                        |                   |                         |                         |
|                 |                  |                      |      h = 1      |                                                        |        M3, M7         |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |        M4, M5         |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |        M4, M7         |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |        M5, M6         |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |        M6, M7         |                                                        |                   |                         |                         |
| --------------- | ---------------  |   ---------------    | --------------- |                    ---------------                     |    ---------------    |                    ---------------                     |  ---------------  |     ---------------     |     ---------------     |
|       16        |      Only M      |   a * b = x01 (M1)   |      a = 1      |                       M3, M4, M6                       |        M1, M3         |                     M1, M2, M5, M7                     |        M1         |                         |                         |
|                 |                  |   b * c = x02 (M2)   |      b = 1      |                     M1, M2, M5, M7                     |        M1, M4         |                                                        |        M2         |                         |                         |
|                 |                  |   c * d = x03 (M3)   |      c = 1      |                                                        |        M1, M6         |                                                        |        M5         |                         |                         |
|                 |                  |   d * e = x04 (M4)   |      d = 1      |                                                        |        M2, M3         |                                                        |        M7         |                         |                         |
|                 |                  | x01 * x02 = x05 (M5) |      e = 1      |                                                        |        M2, M4         |                                                        |                   |                         |                         |
|                 |                  |  x03 * x04 = g (M6)  |      f = 1      |                                                        |        M2, M6         |                                                        |                   |                         |                         |
|                 |                  |   x05 * f = h (M7)   |      g = 1      |                                                        |        M3, M5         |                                                        |                   |                         |                         |
|                 |                  |                      |      h = 2      |                                                        |        M3, M7         |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |        M4, M5         |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |        M4, M7         |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |        M5, M6         |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |        M6, M7         |                                                        |                   |                         |                         |
| --------------- | ---------------  |   ---------------    | --------------- |                    ---------------                     |    ---------------    |                    ---------------                     |  ---------------  |     ---------------     |     ---------------     |
|       17        |      Only M      |   a * b = x01 (M1)   |      a = 1      |                       M3, M4, M6                       |        M1, M3         |                       M3, M4, M6                       |      M1, M3       |                         |                         |
|                 |                  |   b * c = x02 (M2)   |      b = 1      |                     M1, M2, M5, M7                     |        M1, M4         |                     M1, M2, M5, M7                     |      M1, M4       |                         |                         |
|                 |                  |   c * d = x03 (M3)   |      c = 1      |                                                        |        M1, M6         |                                                        |      M1, M6       |                         |                         |
|                 |                  |   d * e = x04 (M4)   |      d = 1      |                                                        |        M2, M3         |                                                        |      M2, M3       |                         |                         |
|                 |                  | x01 * x02 = x05 (M5) |      e = 1      |                                                        |        M2, M4         |                                                        |      M2, M4       |                         |                         |
|                 |                  |  x03 * x04 = g (M6)  |      f = 1      |                                                        |        M2, M6         |                                                        |      M2, M6       |                         |                         |
|                 |                  |   x05 * f = h (M7)   |      g = 2      |                                                        |        M3, M5         |                                                        |      M3, M5       |                         |                         |
|                 |                  |                      |      h = 2      |                                                        |        M3, M7         |                                                        |      M3, M7       |                         |                         |
|                 |                  |                      |                 |                                                        |        M4, M5         |                                                        |      M4, M5       |                         |                         |
|                 |                  |                      |                 |                                                        |        M4, M7         |                                                        |      M4, M7       |                         |                         |
|                 |                  |                      |                 |                                                        |        M5, M6         |                                                        |      M5, M6       |                         |                         |
|                 |                  |                      |                 |                                                        |        M6, M7         |                                                        |      M6, M7       |                         |                         |
+-----------------+------------------+----------------------+-----------------+--------------------------------------------------------+-----------------------+--------------------------------------------------------+-------------------+-------------------------+-------------------------+
