+-----+-----------------------------+-----------------------+--------------+----------------------------------------------------+-----------------------+-------------------+-------------------+----------+-------------------------+-------------------------+
| Lp. |            Title            |       Equations       | Observations |               All minimal conflicts                | All minimal diagnosis | Minimal conflicts | Minimal diagnosis | MSO -GPT | Minimal conflicts - GPT | Minimal diagnosis - GPT |
|     |                             |                       |              |                                                    |      M2, M4, M6       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      M2, M4, M8       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      M2, M5, M6       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      M2, M5, M7       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      M2, M5, M8       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      M2, M5, M9       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      M2, M6, M7       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      M2, M6, M9       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      M2, M7, M8       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      M2, M8, M9       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      M3, M5, M7       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      M3, M6, M7       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      M3, M7, M8       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      M4, M5, M7       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      M4, M6, M7       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      M4, M7, M8       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      M5, M6, M7       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      M5, M7, M8       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      M5, M7, M9       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      M6, M7, M9       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      M7, M8, M9       |                   |                   |          |                         |                         |
| 11  |         Example 10          |     A1: a & b = c     |    a = 1     |                         A1                         |          A1           |                   |                   |          |                         |                         |
|     |                             |                       |    b = 1     |                                                    |                       |                   |                   |          |                         |                         |
|     |                             |                       |    c = 1     |                                                    |                       |                   |                   |          |                         |                         |
| 12  | Example 11 inverted polybox |    A1: a & b = x01    |    a = 1     |                     A1, A2, O1                     |          A1           |                   |                   |          |                         |                         |
|     |                             |    A2: c & d = x02    |    b = 1     |                                                    |          A2           |                   |                   |          |                         |                         |
|     |                             |   O1: x01 | x02 = e   |    c = 1     |                                                    |          O1           |                   |                   |          |                         |                         |
|     |                             |                       |    d = 1     |                                                    |                       |                   |                   |          |                         |                         |
|     |                             |                       |    e = 1     |                                                    |                       |                   |                   |          |                         |                         |
| 13  | Example 12 classic polybox  |    O1: a | c = x01    |    a = 1     |                     A1, O1, O2                     |        A1, A2         |                   |                   |          |                         |                         |
|     |                             |    O2: b | d = x02    |    b = 1     |                     A2, O2, O3                     |        A1, O2         |                   |                   |          |                         |                         |
|     |                             |    O3: c | e = x03    |    c = 1     |                   A1, A2, O1, O3                   |        A1, O3         |                   |                   |          |                         |                         |
|     |                             |   A1: x01 & x02 = f   |    d = 1     |                                                    |        A2, O1         |                   |                   |          |                         |                         |
|     |                             |   A2: x02 & x03 = g   |    e = 1     |                                                    |        A2, O2         |                   |                   |          |                         |                         |
|     |                             |                       |    f = 1     |                                                    |        O1, O2         |                   |                   |          |                         |                         |
|     |                             |                       |    g = 1     |                                                    |        O1, O3         |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |        O2, O3         |                   |                   |          |                         |                         |
| 14  |      Example 13 only A      |    A1: a & b = x01    |    a = 1     |                     A3, A4, A6                     |        A1, A3         |                   |                   |          |                         |                         |
|     |                             |    A2: b & c = x02    |    b = 1     |                   A1, A2, A5, A7                   |        A1, A4         |                   |                   |          |                         |                         |
|     |                             |    A3: c & d = x03    |    c = 1     |                                                    |        A1, A6         |                   |                   |          |                         |                         |
|     |                             |    A4: d & e = x04    |    d = 1     |                                                    |        A2, A3         |                   |                   |          |                         |                         |
|     |                             |  A5: x01 & x02 = x05  |    e = 1     |                                                    |        A2, A4         |                   |                   |          |                         |                         |
|     |                             |   A6: x03 & x04 = g   |    f = 1     |                                                    |        A2, A6         |                   |                   |          |                         |                         |
|     |                             |    A7: x05 & f = h    |    g = 1     |                                                    |        A3, A5         |                   |                   |          |                         |                         |
|     |                             |                       |    h = 1     |                                                    |        A3, A7         |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |        A4, A5         |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |        A4, A7         |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |        A5, A6         |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |        A6, A7         |                   |                   |          |                         |                         |
| 15  |      Example 14 only O      |    O1: a | b = x01    |    a = 1     |                     O3, O4, O6                     |        O1, O3         |                   |                   |          |                         |                         |
|     |                             |    O2: b | c = x02    |    b = 1     |                   O1, O2, O5, O7                   |        O1, O4         |                   |                   |          |                         |                         |
|     |                             |    O3: c | d = x03    |    c = 1     |                                                    |        O1, O6         |                   |                   |          |                         |                         |
|     |                             |    O4: d | e = x04    |    d = 1     |                                                    |        O2, O3         |                   |                   |          |                         |                         |
|     |                             |  O5: x01 | x02 = x05  |    e = 1     |                                                    |        O2, O4         |                   |                   |          |                         |                         |
|     |                             |   O6: x03 | x04 = g   |    f = 1     |                                                    |        O2, O6         |                   |                   |          |                         |                         |
|     |                             |    O7: x05 | f = h    |    g = 1     |                                                    |        O3, O5         |                   |                   |          |                         |                         |
|     |                             |                       |    h = 1     |                                                    |        O3, O7         |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |        O4, O5         |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |        O4, O7         |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |        O5, O6         |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |        O6, O7         |                   |                   |          |                         |                         |
| 16  |  Example 15 mixed A and O   |    A1: a & b = x01    |    a = 1     |                     A2, A4, O2                     |        A1, A2         |                   |                   |          |                         |                         |
|     |                             |    O1: b | c = x02    |    b = 1     |                   A1, A3, O1, O3                   |        A1, A4         |                   |                   |          |                         |                         |
|     |                             |    O2: c | d = x03    |    c = 1     |                                                    |        A1, O2         |                   |                   |          |                         |                         |
|     |                             |    A2: d & e = x04    |    d = 1     |                                                    |        A2, A3         |                   |                   |          |                         |                         |
|     |                             |  A3: x01 & x02 = x05  |    e = 1     |                                                    |        A2, O1         |                   |                   |          |                         |                         |
|     |                             |   A4: x03 & x04 = g   |    f = 1     |                                                    |        A2, O3         |                   |                   |          |                         |                         |
|     |                             |    O3: x05 | f = h    |    g = 1     |                                                    |        A3, A4         |                   |                   |          |                         |                         |
|     |                             |                       |    h = 1     |                                                    |        A3, O2         |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |        A4, O1         |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |        A4, O3         |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |        O1, O2         |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |        O2, O3         |                   |                   |          |                         |                         |
| 17  |         Example 16          |    A1: a & b = x01    |    a = 1     |                 A1, A2, A4, O1, O2                 |        A1, A2         |                   |                   |          |                         |                         |
|     |                             |    A2: d & e = x02    |    b = 1     |                 A2, A3, O2, O3, O4                 |        A1, A3         |                   |                   |          |                         |                         |
|     |                             |    A3: g & h = x03    |    c = 1     |               A1, A3, A4, O1, O3, O4               |        A1, O2         |                   |                   |          |                         |                         |
|     |                             |   O1: c | x01 = x04   |    d = 1     |                                                    |        A1, O3         |                   |                   |          |                         |                         |
|     |                             |   O2: f | x02 = x05   |    e = 1     |                                                    |        A1, O4         |                   |                   |          |                         |                         |
|     |                             |   O3: i | x03 = x06   |    f = 1     |                                                    |        A2, A3         |                   |                   |          |                         |                         |
|     |                             |   A4: x04 & x05 = j   |    g = 1     |                                                    |        A2, A4         |                   |                   |          |                         |                         |
|     |                             |   O4: x05 | x06 = k   |    h = 1     |                                                    |        A2, O1         |                   |                   |          |                         |                         |
|     |                             |                       |    i = 1     |                                                    |        A2, O3         |                   |                   |          |                         |                         |
|     |                             |                       |    j = 1     |                                                    |        A2, O4         |                   |                   |          |                         |                         |
|     |                             |                       |    k = 1     |                                                    |        A3, A4         |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |        A3, O1         |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |        A3, O2         |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |        A4, O2         |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |        A4, O3         |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |        A4, O4         |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |        O1, O2         |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |        O1, O3         |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |        O1, O4         |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |        O2, O3         |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |        O2, O4         |                   |                   |          |                         |                         |
| 18  |         Example 17          |    A1: a & b = x02    |    a = 1     |                       O3, O4                       |        A1, O3         |                   |                   |          |                         |                         |
|     |                             |    O1: c | d = x01    |    b = 1     |                 A1, A2, O1, O2, O3                 |        A1, O4         |                   |                   |          |                         |                         |
|     |                             |   O2: e | x01 = x03   |    c = 1     |                 A1, A2, O1, O2, O4                 |        A2, O3         |                   |                   |          |                         |                         |
|     |                             |  A2: x02 & x03 = x04  |    d = 1     |                                                    |        A2, O4         |                   |                   |          |                         |                         |
|     |                             |    O3: f | x04 = h    |    e = 1     |                                                    |        O1, O3         |                   |                   |          |                         |                         |
|     |                             |    O4: x04 | g = i    |    f = 1     |                                                    |        O1, O4         |                   |                   |          |                         |                         |
|     |                             |                       |    g = 1     |                                                    |        O2, O3         |                   |                   |          |                         |                         |
|     |                             |                       |    h = 1     |                                                    |        O2, O4         |                   |                   |          |                         |                         |
|     |                             |                       |    i = 1     |                                                    |        O3, O4         |                   |                   |          |                         |                         |
| 19  |         Example 18          |    A1: a & b = x01    |    a = 1     |                     A5, A6, O5                     |      A1, A2, A5       |                   |                   |          |                         |                         |
|     |                             |    O1: b | c = x02    |    b = 1     |                 A1, A4, O1, O3, O5                 |      A1, A2, A6       |                   |                   |          |                         |                         |
|     |                             |    A2: c & d = x03    |    c = 1     |                 A2, A3, A6, O2, O4                 |      A1, A2, O5       |                   |                   |          |                         |                         |
|     |                             |    O2: d | e = x04    |    d = 1     |               A1, A4, A5, A6, O1, O3               |      A1, A3, A5       |                   |                   |          |                         |                         |
|     |                             |   O3: b | x02 = x05   |    e = 1     |               A2, A3, A5, O2, O4, O5               |      A1, A3, A6       |                   |                   |          |                         |                         |
|     |                             |   A3: d & x04 = x06   |    f = 1     |         A1, A2, A3, A4, A5, O1, O2, O3, O4         |      A1, A3, O5       |                   |                   |          |                         |                         |
|     |                             |  A4: x01 & x05 = x07  |    g = 1     |                                                    |      A1, A5, A6       |                   |                   |          |                         |                         |
|     |                             |  O4: x03 | x06 = x08  |    h = 1     |                                                    |      A1, A5, O2       |                   |                   |          |                         |                         |
|     |                             |    O5: f | x07 = h    |    i = 1     |                                                    |      A1, A5, O4       |                   |                   |          |                         |                         |
|     |                             |   A5: x07 & x08 = i   |    j = 1     |                                                    |      A1, A6, O2       |                   |                   |          |                         |                         |
|     |                             |    A6: g & x08 = j    |              |                                                    |      A1, A6, O4       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A1, A6, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A1, O2, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A1, O4, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A2, A4, A5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A2, A4, A6       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A2, A4, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A2, A5, O1       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A2, A5, O3       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A2, A5, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A2, A6, O1       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A2, A6, O3       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A2, A6, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A2, O1, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A2, O3, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A3, A4, A5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A3, A4, A6       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A3, A4, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A3, A5, O1       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A3, A5, O3       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A3, A5, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A3, A6, O1       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A3, A6, O3       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A3, A6, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A3, O1, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A3, O3, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A4, A5, A6       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A4, A5, O2       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A4, A5, O4       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A4, A6, O2       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A4, A6, O4       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A4, A6, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A4, O2, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A4, O4, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A5, A6, O1       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A5, A6, O3       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A5, A6, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A5, O1, O2       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A5, O1, O4       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A5, O2, O3       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A5, O2, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A5, O3, O4       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A5, O4, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A6, O1, O2       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A6, O1, O4       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A6, O1, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A6, O2, O3       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A6, O2, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A6, O3, O4       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A6, O3, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A6, O4, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      O1, O2, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      O1, O4, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      O2, O3, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      O3, O4, O5       |                   |                   |          |                         |                         |
| 20  | Example 19 nine O and six A |    O1: a | c = x01    |    a = 1     |                 A1, A5, O1, O2, O7                 |      A1, A2, A4       |                   |                   |          |                         |                         |
|     |                             |    O2: b | d = x02    |    b = 1     |                 A4, A6, O5, O6, O8                 |      A1, A2, A6       |                   |                   |          |                         |                         |
|     |                             |    O3: c | e = x03    |    c = 1     |             A2, A3, O2, O3, O4, O5, O9             |      A1, A2, O5       |                   |                   |          |                         |                         |
|     |                             |    O4: f | h = x04    |    d = 1     |       A1, A2, A3, A5, O1, O3, O4, O5, O7, O9       |      A1, A2, O6       |                   |                   |          |                         |                         |
|     |                             |    O5: g | i = x05    |    e = 1     |       A2, A3, A4, A6, O2, O3, O4, O6, O8, O9       |      A1, A2, O8       |                   |                   |          |                         |                         |
|     |                             |    O6: h | j = x06    |    f = 1     | A1, A2, A3, A4, A5, A6, O1, O3, O4, O6, O7, O8, O9 |      A1, A3, A4       |                   |                   |          |                         |                         |
|     |                             |    O7: k | m = x07    |    g = 1     |                                                    |      A1, A3, A6       |                   |                   |          |                         |                         |
|     |                             |  A1: x01 & x02 = x08  |    h = 1     |                                                    |      A1, A3, O5       |                   |                   |          |                         |                         |
|     |                             |  A2: x02 & x03 = x09  |    i = 1     |                                                    |      A1, A3, O6       |                   |                   |          |                         |                         |
|     |                             |  A3: x04 & x05 = x10  |    j = 1     |                                                    |      A1, A3, O8       |                   |                   |          |                         |                         |
|     |                             |  A4: x05 & x06 = x11  |    k = 1     |                                                    |      A1, A4, O2       |                   |                   |          |                         |                         |
|     |                             |    O8: n | o = x12    |    m = 1     |                                                    |      A1, A4, O3       |                   |                   |          |                         |                         |
|     |                             |   A5: x07 & x08 = p   |    n = 1     |                                                    |      A1, A4, O4       |                   |                   |          |                         |                         |
|     |                             |   O9: x09 | x10 = q   |    o = 1     |                                                    |      A1, A4, O5       |                   |                   |          |                         |                         |
|     |                             |   A6: x11 & x12 = r   |    p = 1     |                                                    |      A1, A4, O9       |                   |                   |          |                         |                         |
|     |                             |                       |    q = 1     |                                                    |      A1, A6, O2       |                   |                   |          |                         |                         |
|     |                             |                       |    r = 1     |                                                    |      A1, A6, O3       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A1, A6, O4       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A1, A6, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A1, A6, O9       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A1, O2, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A1, O2, O6       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A1, O2, O8       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A1, O3, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A1, O3, O6       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A1, O3, O8       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A1, O4, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A1, O4, O6       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A1, O4, O8       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A1, O5, O6       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A1, O5, O8       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A1, O5, O9       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A1, O6, O9       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A1, O8, O9       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A2, A4, A5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A2, A4, O1       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A2, A4, O2       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A2, A4, O7       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A2, A5, A6       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A2, A5, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A2, A5, O6       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A2, A5, O8       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A2, A6, O1       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A2, A6, O2       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A2, A6, O7       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A2, O1, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A2, O1, O6       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A2, O1, O8       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A2, O2, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A2, O2, O6       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A2, O2, O8       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A2, O5, O7       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A2, O6, O7       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A2, O7, O8       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A3, A4, A5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A3, A4, O1       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A3, A4, O2       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A3, A4, O7       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A3, A5, A6       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A3, A5, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A3, A5, O6       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A3, A5, O8       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A3, A6, O1       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A3, A6, O2       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A3, A6, O7       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A3, O1, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A3, O1, O6       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A3, O1, O8       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A3, O2, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A3, O2, O6       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A3, O2, O8       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A3, O5, O7       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A3, O6, O7       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A3, O7, O8       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A4, A5, O2       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A4, A5, O3       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A4, A5, O4       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A4, A5, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A4, A5, O9       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A4, O1, O2       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A4, O1, O3       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A4, O1, O4       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A4, O1, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A4, O1, O9       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A4, O2, O3       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A4, O2, O4       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A4, O2, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A4, O2, O7       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A4, O2, O9       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A4, O3, O7       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A4, O4, O7       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A4, O5, O7       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A4, O7, O9       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A5, A6, O2       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A5, A6, O3       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A5, A6, O4       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A5, A6, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A5, A6, O9       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A5, O2, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A5, O2, O6       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A5, O2, O8       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A5, O3, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A5, O3, O6       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A5, O3, O8       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A5, O4, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A5, O4, O6       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A5, O4, O8       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A5, O5, O6       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A5, O5, O8       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A5, O5, O9       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A5, O6, O9       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A5, O8, O9       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A6, O1, O2       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A6, O1, O3       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A6, O1, O4       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A6, O1, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A6, O1, O9       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A6, O2, O3       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A6, O2, O4       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A6, O2, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A6, O2, O7       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A6, O2, O9       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A6, O3, O7       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A6, O4, O7       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A6, O5, O7       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      A6, O7, O9       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      O1, O2, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      O1, O2, O6       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      O1, O2, O8       |                   |                   |          |                         |                         |
